mode,algorithm,val_rmse,test_rmse,val_r2,test_r2,val_mae,test_mae,base_mode
CTM_New York,GradientBoosting,3.5677268285116153,4.059497949123542,0.379072204613645,0.5864751609790133,2.6057045978305564,3.146490073571291,CTM
CTS_New York_pm25,GradientBoosting,3.621380134945864,4.205062453027215,0.36025611602836305,0.5562873104287874,2.691854904787955,3.244606281034189,CTS
CHM_New York,Ridge,3.753190136323997,5.156543555593525,0.3128381418671575,0.33277189793489814,2.8365768626050594,3.737608953099162,CHM
CHS_New York_pm25,Ridge,3.760875165142666,5.17067053587837,0.31002119679822837,0.32911098443025777,2.844441280808237,3.7457097511779316,CHS
CHM_Chicago,GradientBoosting,4.667510217366483,10.497977116454965,0.2379899418990592,0.0976519231453511,3.436054013520791,6.26391347789552,CHM
CHS_Chicago_pm25,Ridge,4.733250038070627,8.82498034109578,0.2920076456315299,0.3623382792652575,3.5094601819652045,5.558638597090517,CHS
CTS_Chicago_pm25,Ridge,4.737537316258798,10.669781593344148,0.29072449564515324,0.0678755220113707,3.438265417901496,6.426393083313922,CTS
CTM_Chicago,Ridge,4.766617777297774,10.128222999696067,0.2300149461056027,0.1600965534217752,3.482801179704384,6.174140486173645,CTM
CTS_San Francisco_pm25,Ridge,5.180184171470982,2.06399935441219,0.25882861267904045,-0.50531113030943,3.335423315085825,1.661437348057562,CTS
CHS_San Francisco_pm25,RandomForest,5.439115993920976,1.3831928388776087,0.18288179707324514,0.3239596432672659,3.329016948464751,1.0472169937356475,CHS
CTS_Los Angeles_pm25,RandomForest,5.534116599500086,4.76262007075381,0.5214949099832545,0.34204705175825256,3.19962633780876,2.441879345981952,CTS
CTM_Los Angeles,RandomForest,5.664006791570233,4.7669120378328085,0.49876950877770787,0.34086065234999674,3.249443333962014,2.4264655687904333,CTM
CHM_Los Angeles,GradientBoosting,7.578748199553006,5.198079426503653,0.10260239173904151,0.21622973312235672,4.7974984895474355,2.366933453851694,CHM
CHS_Los Angeles_pm25,RandomForest,7.668357275804478,5.02671714657804,0.08125576006647017,0.26705420441975747,4.889143639290818,2.261572638863218,CHS
GHM,ElasticNet,13.60487511513972,10.434919980736176,0.3732057330195282,0.24993906757477002,7.105116743423504,5.100940891794698,GHM
GHS_pm25,GradientBoosting,15.357697248770831,12.011291737765864,0.5441501437890882,0.4773295825406524,7.699115056355405,6.296557911658025,GHS
CTS_Beijing_pm25,GradientBoosting,15.916452690446752,11.749583825356838,0.815413677123791,0.6386055079025061,10.9796903397422,8.90659182676401,CTS
GTS_pm25,RandomForest,17.210793128972522,12.158992198358968,0.42692502279850064,0.46495641005883004,8.331702960201351,6.435988182045651,GTS
GTM,Ridge,17.63192194576572,11.92968136382745,-0.05472804397832198,0.019613390990015134,8.099245262613449,5.834624954459727,GTM
CHS_Houston_pm25,ElasticNet,27.16608692837439,9.582534576681516,0.04390074763961538,0.5683759562053143,17.468210913104265,4.8195562451632945,CHS
CHM_Houston,ElasticNet,27.16623235070733,9.64128524842724,0.04389051145386591,0.5673480898899507,17.467953125647394,4.86450067912943,CHM
CHS_Beijing_pm25,RandomForest,29.317644508255103,19.20415881889743,0.37372496208934813,0.03455588588435188,19.437392952633054,13.518609325007949,CHS
CTM_Houston,Ridge,34.67352248687925,15.114388425428519,-0.5575598166392468,-0.06362569929265871,22.667714086943015,7.540273570401907,CTM
CTS_Houston_pm25,Ridge,34.673557829309495,15.023597315971472,-0.5575629918561433,-0.06094460382241529,22.66774623536215,7.4855899947452995,CTS
